,TI,EN,TI_tokenized,EN_tokenized
1053,ካብቲ ደም ከኣ ኣብ ኣቕርንቲ እቲ ኣብ ቅድሚ እግዚኣብሄር፡ ኣብ ድንኳን ምርኻብ ዘሎ መሰውኢ ይግበር። ንዂሉ እቲ ደም ከኣ ኣብ እግሪ እቲ ኣብ ቅድሚ ኣፍ ደገ ድንኳን ምርኻብ ዘሎ መሰውኢ ምሕራር ይኽዐዎ።,"He shall put some of the blood on the horns of the altar which is before Yahweh, that is in the Tent of Meeting; and the rest of the blood he shall pour out at the base of the altar of burnt offering, which is at the door of the Tent of Meeting.","['ካብቲ', 'ደም', 'ከኣ', 'ኣብ', 'ኣቕርንቲ', 'እቲ', 'ኣብ', 'ቅድሚ', 'እግዚኣብሄር', 'ኣብ', 'ድንኳን', 'ምርኻብ', 'ዘሎ', 'መሰውኢ', 'ይግበር', 'ንዂሉ', 'እቲ', 'ደም', 'ከኣ', 'ኣብ', 'እግሪ', 'እቲ', 'ኣብ', 'ቅድሚ', 'ኣፍ', 'ደገ', 'ድንኳን', 'ምርኻብ', 'ዘሎ', 'መሰውኢ', 'ምሕራር', 'ይኽዐዎ']","['he', 'shall', 'put', 'some', 'of', 'the', 'blood', 'on', 'the', 'horns', 'of', 'the', 'altar', 'which', 'is', 'before', 'yahweh', 'that', 'is', 'in', 'the', 'tent', 'of', 'meeting', 'and', 'the', 'rest', 'of', 'the', 'blood', 'he', 'shall', 'pour', 'out', 'at', 'the', 'base', 'of', 'the', 'altar', 'of', 'burnt', 'offering', 'which', 'is', 'at', 'the', 'door', 'of', 'the', 'tent', 'of', 'meeting']"
1054,ንኹሉ እቲ ስብሒ ድማ ካብኡ ኣልዒሉ ኣብ መሰውኢ የሕርሮ።,"All its fat he shall take from it, and burn it on the altar.","['ንኹሉ', 'እቲ', 'ስብሒ', 'ድማ', 'ካብኡ', 'ኣልዒሉ', 'ኣብ', 'መሰውኢ', 'የሕርሮ']","['all', 'its', 'fat', 'he', 'shall', 'take', 'from', 'it', 'and', 'burn', 'it', 'on', 'the', 'altar']"
1055,እዚ ነቲ ዝራብዕ ይግበር፡ ነቲ ዝራብዕ መስዋእቲ ሓጢኣት ከም ዝገበሮ፡ ነዚ ኸኣ ከምኡ ይግበሮ። ከምኡ እቲ ኻህን የተዐርቆም፡ ሽዑ ይሕደገሎም።,"Thus shall he do with the bull; as he did with the bull of the sin offering, so shall he do with this; and the priest shall make atonement for them, and they shall be forgiven.","['እዚ', 'ነቲ', 'ዝራብዕ', 'ይግበር', 'ነቲ', 'ዝራብዕ', 'መስዋእቲ', 'ሓጢኣት', 'ከም', 'ዝገበሮ', 'ነዚ', 'ኸኣ', 'ከምኡ', 'ይግበሮ', 'ከምኡ', 'እቲ', 'ኻህን', 'የተዐርቆም', 'ሽዑ', 'ይሕደገሎም']","['thus', 'shall', 'he', 'do', 'with', 'the', 'bull', 'as', 'he', 'did', 'with', 'the', 'bull', 'of', 'the', 'sin', 'offering', 'so', 'shall', 'he', 'do', 'with', 'this', 'and', 'the', 'priest', 'shall', 'make', 'atonement', 'for', 'them', 'and', 'they', 'shall', 'be', 'forgiven']"
1056,ነቲ ዝራብዕ ድማ ካብቲ ሰፈር ንወጻኢ የውጽኣዮ፡ ነቲ ቐዳማይ ዝራብዕ ከም ዘሕርሮ፡ የሕርሮ። እዚ ናይቲ ኣኼባ መስዋእቲ ሓጢኣት እዩ።,"He shall carry forth the bull outside the camp, and burn it as he burned the first bull. It is the sin offering for the assembly.","['ነቲ', 'ዝራብዕ', 'ድማ', 'ካብቲ', 'ሰፈር', 'ንወጻኢ', 'የውጽኣዮ', 'ነቲ', 'ቐዳማይ', 'ዝራብዕ', 'ከም', 'ዘሕርሮ', 'የሕርሮ', 'እዚ', 'ናይቲ', 'ኣኼባ', 'መስዋእቲ', 'ሓጢኣት', 'እዩ']","['he', 'shall', 'carry', 'forth', 'the', 'bull', 'outside', 'the', 'camp', 'and', 'burn', 'it', 'as', 'he', 'burned', 'the', 'first', 'bull', 'it', 'is', 'the', 'sin', 'offering', 'for', 'the', 'assembly']"
1057,ሓደ ሹም ከኣ ከይፈለጠ ኻብቲ እግዚኣብሄር ኣምላኹ፡ ኣይትግበርዎ፡ ኢሉ ዝኣዘዞ ኹሉ፡ ሓደ ብምግባሩ በዲሉ እንተ ሓጥኤ፡,"""''When a ruler sins, and unwittingly does any one of all the things which Yahweh his God has commanded not to be done, and is guilty;","['ሓደ', 'ሹም', 'ከኣ', 'ከይፈለጠ', 'ኻብቲ', 'እግዚኣብሄር', 'ኣምላኹ', 'ኣይትግበርዎ', 'ኢሉ', 'ዝኣዘዞ', 'ኹሉ', 'ሓደ', 'ብምግባሩ', 'በዲሉ', 'እንተ', 'ሓጥኤ']","['""\'\'when', 'a', 'ruler', 'sins', 'and', 'unwittingly', 'does', 'any', 'one', 'of', 'all', 'the', 'things', 'which', 'yahweh', 'his', 'god', 'has', 'commanded', 'not', 'to', 'be', 'done', 'and', 'is', 'guilty']"
1058,እቲ ዝገበሮ ሓጢኣት ድማ እንተ ተፈለጦ፡ ንመስዋእቱ ኻብ ኣጣሉ ሓደ ተባዕታይ ጐደሎ ዜብሉ ድቤላ የምጽእ።,"if his sin, in which he has sinned, is made known to him, he shall bring as his offering a goat, a male without blemish.","['እቲ', 'ዝገበሮ', 'ሓጢኣት', 'ድማ', 'እንተ', 'ተፈለጦ', 'ንመስዋእቱ', 'ኻብ', 'ኣጣሉ', 'ሓደ', 'ተባዕታይ', 'ጐደሎ', 'ዜብሉ', 'ድቤላ', 'የምጽእ']","['if', 'his', 'sin', 'in', 'which', 'he', 'has', 'sinned', 'is', 'made', 'known', 'to', 'him', 'he', 'shall', 'bring', 'as', 'his', 'offering', 'a', 'goat', 'a', 'male', 'without', 'blemish']"
1059,ኢዱ ኣብ ርእሲ እቲ ድቤላ የንብር፡ ኣብታ ኣብ ቅድሚ እግዚኣብሄር ዚሐርር መስዋእቲ ዚሐርዱላ ቦታ ኸኣ ይሕረዶ። ንሱ መስዋእቲ ሓጢኣት እዩ።,"He shall lay his hand on the head of the goat, and kill it in the place where they kill the burnt offering before Yahweh. It is a sin offering.","['ኢዱ', 'ኣብ', 'ርእሲ', 'እቲ', 'ድቤላ', 'የንብር', 'ኣብታ', 'ኣብ', 'ቅድሚ', 'እግዚኣብሄር', 'ዚሐርር', 'መስዋእቲ', 'ዚሐርዱላ', 'ቦታ', 'ኸኣ', 'ይሕረዶ', 'ንሱ', 'መስዋእቲ', 'ሓጢኣት', 'እዩ']","['he', 'shall', 'lay', 'his', 'hand', 'on', 'the', 'head', 'of', 'the', 'goat', 'and', 'kill', 'it', 'in', 'the', 'place', 'where', 'they', 'kill', 'the', 'burnt', 'offering', 'before', 'yahweh', 'it', 'is', 'a', 'sin', 'offering']"
1060,እቲ ኻህን ድማ ካብቲ ደም መስዋእቲ ሓጢኣት በጻብዑ ይውሰድ፡ ኣብ ልዕሊ ቐርኒ መሰውኢ ምሕራርውን ይግበሮ። ነቲ ደሙ ኸኣ ኣብ እግሪ መሰውኢ ምሕራር ይኽዐዎ።,"The priest shall take some of the blood of the sin offering with his finger, and put it on the horns of the altar of burnt offering. He shall pour out the rest of its blood at the base of the altar of burnt offering.","['እቲ', 'ኻህን', 'ድማ', 'ካብቲ', 'ደም', 'መስዋእቲ', 'ሓጢኣት', 'በጻብዑ', 'ይውሰድ', 'ኣብ', 'ልዕሊ', 'ቐርኒ', 'መሰውኢ', 'ምሕራርውን', 'ይግበሮ', 'ነቲ', 'ደሙ', 'ኸኣ', 'ኣብ', 'እግሪ', 'መሰውኢ', 'ምሕራር', 'ይኽዐዎ']","['the', 'priest', 'shall', 'take', 'some', 'of', 'the', 'blood', 'of', 'the', 'sin', 'offering', 'with', 'his', 'finger', 'and', 'put', 'it', 'on', 'the', 'horns', 'of', 'the', 'altar', 'of', 'burnt', 'offering', 'he', 'shall', 'pour', 'out', 'the', 'rest', 'of', 'its', 'blood', 'at', 'the', 'base', 'of', 'the', 'altar', 'of', 'burnt', 'offering']"
1061,ንዂሉ እቲ ስብሑ ድማ፡ ከምቲ ንስብሒ መስዋእቲ ምስጋና ዚግበር፡ ኣብ መሰውኢ የሕርሮ። እቲ ኻህን ድማ ካብ ሓጢኣቱ የተዐርቆ፡ ይሕደገሉ ኸኣ።,"All its fat he shall burn on the altar, like the fat of the sacrifice of peace offerings; and the priest shall make atonement for him concerning his sin, and he will be forgiven.","['ንዂሉ', 'እቲ', 'ስብሑ', 'ድማ', 'ከምቲ', 'ንስብሒ', 'መስዋእቲ', 'ምስጋና', 'ዚግበር', 'ኣብ', 'መሰውኢ', 'የሕርሮ', 'እቲ', 'ኻህን', 'ድማ', 'ካብ', 'ሓጢኣቱ', 'የተዐርቆ', 'ይሕደገሉ', 'ኸኣ']","['all', 'its', 'fat', 'he', 'shall', 'burn', 'on', 'the', 'altar', 'like', 'the', 'fat', 'of', 'the', 'sacrifice', 'of', 'peace', 'offerings', 'and', 'the', 'priest', 'shall', 'make', 'atonement', 'for', 'him', 'concerning', 'his', 'sin', 'and', 'he', 'will', 'be', 'forgiven']"
1062,ካብ ህዝቢ እታ ሃገር ሓንቲ ነፍሲ፡ ከይፈለጠት ካብቲ እግዚኣብሄር፡ ኣይትግበርዎ፡ ኢሉ ዝኣዘዞስ ሓደ ብምግባራ በዲላ እንተ ሓጥኤት፡,"""''If anyone of the common people sins unwittingly, in doing any of the things which Yahweh has commanded not to be done, and is guilty;","['ካብ', 'ህዝቢ', 'እታ', 'ሃገር', 'ሓንቲ', 'ነፍሲ', 'ከይፈለጠት', 'ካብቲ', 'እግዚኣብሄር', 'ኣይትግበርዎ', 'ኢሉ', 'ዝኣዘዞስ', 'ሓደ', 'ብምግባራ', 'በዲላ', 'እንተ', 'ሓጥኤት']","['""\'\'if', 'anyone', 'of', 'the', 'common', 'people', 'sins', 'unwittingly', 'in', 'doing', 'any', 'of', 'the', 'things', 'which', 'yahweh', 'has', 'commanded', 'not', 'to', 'be', 'done', 'and', 'is', 'guilty']"
1063,እቲ ዝገበሮ ሓጢኣቱ እንተ ተፈለጦ፡ ስለ እቲ ዝገበሮ ሓጢኣቱ መስዋእቱ ጐደሎ ዜብላ ኣንስተይቲ ጤል የምጽእ።,"if his sin, which he has sinned, is made known to him, then he shall bring for his offering a goat, a female without blemish, for his sin which he has sinned.","['እቲ', 'ዝገበሮ', 'ሓጢኣቱ', 'እንተ', 'ተፈለጦ', 'ስለ', 'እቲ', 'ዝገበሮ', 'ሓጢኣቱ', 'መስዋእቱ', 'ጐደሎ', 'ዜብላ', 'ኣንስተይቲ', 'ጤል', 'የምጽእ']","['if', 'his', 'sin', 'which', 'he', 'has', 'sinned', 'is', 'made', 'known', 'to', 'him', 'then', 'he', 'shall', 'bring', 'for', 'his', 'offering', 'a', 'goat', 'a', 'female', 'without', 'blemish', 'for', 'his', 'sin', 'which', 'he', 'has', 'sinned']"
1064,ኢዱ ድማ ኣብ ልዕሊ ርእሲ እታ መስዋእቲ ሓጢኣት የንብር፡ ነታ መስዋእቲ ሓጢኣት ኣብ ቦታ እቲ ዚሐርር መስዋእቲ ይሕረዳ።,"He shall lay his hand on the head of the sin offering, and kill the sin offering in the place of burnt offering.","['ኢዱ', 'ድማ', 'ኣብ', 'ልዕሊ', 'ርእሲ', 'እታ', 'መስዋእቲ', 'ሓጢኣት', 'የንብር', 'ነታ', 'መስዋእቲ', 'ሓጢኣት', 'ኣብ', 'ቦታ', 'እቲ', 'ዚሐርር', 'መስዋእቲ', 'ይሕረዳ']","['he', 'shall', 'lay', 'his', 'hand', 'on', 'the', 'head', 'of', 'the', 'sin', 'offering', 'and', 'kill', 'the', 'sin', 'offering', 'in', 'the', 'place', 'of', 'burnt', 'offering']"
1065,እቲ ኻህን ድማ ካብ ደማ በጻብዑ ወሲዱ፡ ኣብ ልዕሊ ቐርኒ መሰውኢ ምሕራር ይግበር፡ ንዂሉ እቲ ደም ከኣ ኣብ እግሪ መሰውኢ ይኽዐዎ።,"The priest shall take some of its blood with his finger, and put it on the horns of the altar of burnt offering; and the rest of its blood he shall pour out at the base of the altar.","['እቲ', 'ኻህን', 'ድማ', 'ካብ', 'ደማ', 'በጻብዑ', 'ወሲዱ', 'ኣብ', 'ልዕሊ', 'ቐርኒ', 'መሰውኢ', 'ምሕራር', 'ይግበር', 'ንዂሉ', 'እቲ', 'ደም', 'ከኣ', 'ኣብ', 'እግሪ', 'መሰውኢ', 'ይኽዐዎ']","['the', 'priest', 'shall', 'take', 'some', 'of', 'its', 'blood', 'with', 'his', 'finger', 'and', 'put', 'it', 'on', 'the', 'horns', 'of', 'the', 'altar', 'of', 'burnt', 'offering', 'and', 'the', 'rest', 'of', 'its', 'blood', 'he', 'shall', 'pour', 'out', 'at', 'the', 'base', 'of', 'the', 'altar']"
1066,ከምቲ ኻብ መስዋእቲ ምስጋና ዚፍለ ስብሒ፡ ንዂሉ እቲ ስብሒ ይፍለ፡ እቲ ኻህን ድማ ንእግዚኣብሄር ንጥዑም ጨና ኣብ መሰውኢ የሕርሮ። እቲ ኻህን ድማ የተዐርቆ፡ ይሕደገሉ ኸኣ።,"All its fat he shall take away, like the fat is taken away from off of the sacrifice of peace offerings; and the priest shall burn it on the altar for a sweet savor to Yahweh; and the priest shall make atonement for him, and he will be forgiven.","['ከምቲ', 'ኻብ', 'መስዋእቲ', 'ምስጋና', 'ዚፍለ', 'ስብሒ', 'ንዂሉ', 'እቲ', 'ስብሒ', 'ይፍለ', 'እቲ', 'ኻህን', 'ድማ', 'ንእግዚኣብሄር', 'ንጥዑም', 'ጨና', 'ኣብ', 'መሰውኢ', 'የሕርሮ', 'እቲ', 'ኻህን', 'ድማ', 'የተዐርቆ', 'ይሕደገሉ', 'ኸኣ']","['all', 'its', 'fat', 'he', 'shall', 'take', 'away', 'like', 'the', 'fat', 'is', 'taken', 'away', 'from', 'off', 'of', 'the', 'sacrifice', 'of', 'peace', 'offerings', 'and', 'the', 'priest', 'shall', 'burn', 'it', 'on', 'the', 'altar', 'for', 'a', 'sweet', 'savor', 'to', 'yahweh', 'and', 'the', 'priest', 'shall', 'make', 'atonement', 'for', 'him', 'and', 'he', 'will', 'be', 'forgiven']"
1067,ንመስዋእቲ ሓጢኣቱ ገንሸል እንተ ኣምጽኤ ኸኣ፡ ጐደሎ ዜብላ ኣንስተይቲ የምጽእ።,"""''If he brings a lamb as his offering for a sin offering, he shall bring a female without blemish.","['ንመስዋእቲ', 'ሓጢኣቱ', 'ገንሸል', 'እንተ', 'ኣምጽኤ', 'ኸኣ', 'ጐደሎ', 'ዜብላ', 'ኣንስተይቲ', 'የምጽእ']","['""\'\'if', 'he', 'brings', 'a', 'lamb', 'as', 'his', 'offering', 'for', 'a', 'sin', 'offering', 'he', 'shall', 'bring', 'a', 'female', 'without', 'blemish']"
1068,ኢዱ ድማ ኣብ ልዕሊ ርእሲ እታ መስዋእቲ ሓጢኣት የንብር፡ ኣብታ ዚሐርር መስዋእቲ ዚሐርዱላ ቦታ ንመስዋእቲ ሓጢኣት ይሕረዳ።,"He shall lay his hand on the head of the sin offering, and kill it for a sin offering in the place where they kill the burnt offering.","['ኢዱ', 'ድማ', 'ኣብ', 'ልዕሊ', 'ርእሲ', 'እታ', 'መስዋእቲ', 'ሓጢኣት', 'የንብር', 'ኣብታ', 'ዚሐርር', 'መስዋእቲ', 'ዚሐርዱላ', 'ቦታ', 'ንመስዋእቲ', 'ሓጢኣት', 'ይሕረዳ']","['he', 'shall', 'lay', 'his', 'hand', 'on', 'the', 'head', 'of', 'the', 'sin', 'offering', 'and', 'kill', 'it', 'for', 'a', 'sin', 'offering', 'in', 'the', 'place', 'where', 'they', 'kill', 'the', 'burnt', 'offering']"
1069,እቲ ኻህን ድማ ካብ ደም እታ መስዋእቲ ሓጢኣት በጻብዑ ወሲዱ፡ ኣብ ልዕሊ ቐርኒ መሰውኢ ምሕራር ይግበር። ንዀሉ ደማ ኸኣ ኣብ እግሪ መሰውኢ ይኽዐዎ።,"The priest shall take some of the blood of the sin offering with his finger, and put it on the horns of the altar of burnt offering; and all the rest of its blood he shall pour out at the base of the altar.","['እቲ', 'ኻህን', 'ድማ', 'ካብ', 'ደም', 'እታ', 'መስዋእቲ', 'ሓጢኣት', 'በጻብዑ', 'ወሲዱ', 'ኣብ', 'ልዕሊ', 'ቐርኒ', 'መሰውኢ', 'ምሕራር', 'ይግበር', 'ንዀሉ', 'ደማ', 'ኸኣ', 'ኣብ', 'እግሪ', 'መሰውኢ', 'ይኽዐዎ']","['the', 'priest', 'shall', 'take', 'some', 'of', 'the', 'blood', 'of', 'the', 'sin', 'offering', 'with', 'his', 'finger', 'and', 'put', 'it', 'on', 'the', 'horns', 'of', 'the', 'altar', 'of', 'burnt', 'offering', 'and', 'all', 'the', 'rest', 'of', 'its', 'blood', 'he', 'shall', 'pour', 'out', 'at', 'the', 'base', 'of', 'the', 'altar']"
1070,ከምቲ ኻብ ገንሸል መስዋእቲ ምስጋና ዚፍለ ስብሒ፡ ንዂሉ እቲ ስብሒ ይፍለ እሞ እቲ ኻህን ኣብ ልዕሊ እቲ ንእግዚኣብሄር ብሓዊ ዚግበር መስዋእቲ፡ ኣብ መሰውኢ የሕርሮ። እቲ ኻህን ድማ ብዛዕባ እቲ ዝገበሮ ሓጢኣቱ የተዐርቆ፡ ይሕደገሉ ኸኣ።,"All its fat he shall take away, like the fat of the lamb is taken away from the sacrifice of peace offerings; and the priest shall burn them on the altar, on the offerings of Yahweh made by fire; and the priest shall make atonement for him concerning his sin that he has sinned, and he will be forgiven.","['ከምቲ', 'ኻብ', 'ገንሸል', 'መስዋእቲ', 'ምስጋና', 'ዚፍለ', 'ስብሒ', 'ንዂሉ', 'እቲ', 'ስብሒ', 'ይፍለ', 'እሞ', 'እቲ', 'ኻህን', 'ኣብ', 'ልዕሊ', 'እቲ', 'ንእግዚኣብሄር', 'ብሓዊ', 'ዚግበር', 'መስዋእቲ', 'ኣብ', 'መሰውኢ', 'የሕርሮ', 'እቲ', 'ኻህን', 'ድማ', 'ብዛዕባ', 'እቲ', 'ዝገበሮ', 'ሓጢኣቱ', 'የተዐርቆ', 'ይሕደገሉ', 'ኸኣ']","['all', 'its', 'fat', 'he', 'shall', 'take', 'away', 'like', 'the', 'fat', 'of', 'the', 'lamb', 'is', 'taken', 'away', 'from', 'the', 'sacrifice', 'of', 'peace', 'offerings', 'and', 'the', 'priest', 'shall', 'burn', 'them', 'on', 'the', 'altar', 'on', 'the', 'offerings', 'of', 'yahweh', 'made', 'by', 'fire', 'and', 'the', 'priest', 'shall', 'make', 'atonement', 'for', 'him', 'concerning', 'his', 'sin', 'that', 'he', 'has', 'sinned', 'and', 'he', 'will', 'be', 'forgiven']"
1071,ሰብ፡ ቃል ማሕላ ሰሚዑ፡ ንሱ ብዝረኣዮ ወይ ብዝፈለጦ ምስክር ኰይኑ እንተ ዘይገለጾ፡ ብእኡ ሓጢኣት እንተ ገበረ፡ በደሉ ይጸውር።,"""''If anyone sins, in that he hears the voice of adjuration, he being a witness, whether he has seen or known, if he doesn''t report it, then he shall bear his iniquity.","['ሰብ', 'ቃል', 'ማሕላ', 'ሰሚዑ', 'ንሱ', 'ብዝረኣዮ', 'ወይ', 'ብዝፈለጦ', 'ምስክር', 'ኰይኑ', 'እንተ', 'ዘይገለጾ', 'ብእኡ', 'ሓጢኣት', 'እንተ', 'ገበረ', 'በደሉ', 'ይጸውር']","['""\'\'if', 'anyone', 'sins', 'in', 'that', 'he', 'hears', 'the', 'voice', 'of', 'adjuration', 'he', 'being', 'a', 'witness', 'whether', 'he', 'has', 'seen', 'or', 'known', 'if', 'he', ""doesn''t"", 'report', 'it', 'then', 'he', 'shall', 'bear', 'his', 'iniquity']"
1072,ወይ ሓደ ኸይፈለጠ ገለ ርኹስ ነገር እንተ ተንከየ፡ ገምቢ ርኹስ ኣራዊት እንተ ዀነ፡ ወይ ገምቢ ርኹስ እንስሳ ቤት፡ ወይ ገምቢ ርኹስ ለመምታ፡ ንሱ ረኺሱ እዩ እሞ በዳሊ እዩ።,"""''Or if anyone touches any unclean thing, whether it is the carcass of an unclean animal, or the carcass of unclean livestock, or the carcass of unclean creeping things, and it is hidden from him, and he is unclean, then he shall be guilty.","['ወይ', 'ሓደ', 'ኸይፈለጠ', 'ገለ', 'ርኹስ', 'ነገር', 'እንተ', 'ተንከየ', 'ገምቢ', 'ርኹስ', 'ኣራዊት', 'እንተ', 'ዀነ', 'ወይ', 'ገምቢ', 'ርኹስ', 'እንስሳ', 'ቤት', 'ወይ', 'ገምቢ', 'ርኹስ', 'ለመምታ', 'ንሱ', 'ረኺሱ', 'እዩ', 'እሞ', 'በዳሊ', 'እዩ']","['""\'\'or', 'if', 'anyone', 'touches', 'any', 'unclean', 'thing', 'whether', 'it', 'is', 'the', 'carcass', 'of', 'an', 'unclean', 'animal', 'or', 'the', 'carcass', 'of', 'unclean', 'livestock', 'or', 'the', 'carcass', 'of', 'unclean', 'creeping', 'things', 'and', 'it', 'is', 'hidden', 'from', 'him', 'and', 'he', 'is', 'unclean', 'then', 'he', 'shall', 'be', 'guilty']"
1073,ወይ ከይፈለጠ ንርኽሰት ሰብ፡ ብዝዀነ ዜርክሶ ርኽሰት እንተ ተንከየ እሞ ምስ ተፈለጦ፡ በዳሊ እዩ።,"""''Or if he touches the uncleanness of man, whatever his uncleanness is with which he is unclean, and it is hidden from him; when he knows of it, then he shall be guilty.","['ወይ', 'ከይፈለጠ', 'ንርኽሰት', 'ሰብ', 'ብዝዀነ', 'ዜርክሶ', 'ርኽሰት', 'እንተ', 'ተንከየ', 'እሞ', 'ምስ', 'ተፈለጦ', 'በዳሊ', 'እዩ']","['""\'\'or', 'if', 'he', 'touches', 'the', 'uncleanness', 'of', 'man', 'whatever', 'his', 'uncleanness', 'is', 'with', 'which', 'he', 'is', 'unclean', 'and', 'it', 'is', 'hidden', 'from', 'him', 'when', 'he', 'knows', 'of', 'it', 'then', 'he', 'shall', 'be', 'guilty']"
1074,ወይ ሓደ ገለ ኽፉእ ወይ ጽቡቕ ንምግባር፡ ዝዀነ ይኹን ሰብ ብዘይ ሓሳብ ከም ዚምሕል፡ ከይፈለጠ ብዘይ ሓሳብ ብኸናፍሩ እንተ መሐለ እሞ ምስ ተፈለጦ፡ ብሓደ ኻብዚ ነገርዚ በዳሊ እዩ።,"""''Or if anyone swears rashly with his lips to do evil, or to do good, whatever it is that a man might utter rashly with an oath, and it is hidden from him; when he knows of it, then he shall be guilty of one of these.","['ወይ', 'ሓደ', 'ገለ', 'ኽፉእ', 'ወይ', 'ጽቡቕ', 'ንምግባር', 'ዝዀነ', 'ይኹን', 'ሰብ', 'ብዘይ', 'ሓሳብ', 'ከም', 'ዚምሕል', 'ከይፈለጠ', 'ብዘይ', 'ሓሳብ', 'ብኸናፍሩ', 'እንተ', 'መሐለ', 'እሞ', 'ምስ', 'ተፈለጦ', 'ብሓደ', 'ኻብዚ', 'ነገርዚ', 'በዳሊ', 'እዩ']","['""\'\'or', 'if', 'anyone', 'swears', 'rashly', 'with', 'his', 'lips', 'to', 'do', 'evil', 'or', 'to', 'do', 'good', 'whatever', 'it', 'is', 'that', 'a', 'man', 'might', 'utter', 'rashly', 'with', 'an', 'oath', 'and', 'it', 'is', 'hidden', 'from', 'him', 'when', 'he', 'knows', 'of', 'it', 'then', 'he', 'shall', 'be', 'guilty', 'of', 'one', 'of', 'these']"
1075,ኪኸውን ድማ እዩ፡ ካብዚ ነገርዚ ብሓደ ምስ በደለ፡ በቲ ዝገበሮ ሓጢኣት ይናዘዝ።,"It shall be, when he is guilty of one of these, he shall confess that in which he has sinned:","['ኪኸውን', 'ድማ', 'እዩ', 'ካብዚ', 'ነገርዚ', 'ብሓደ', 'ምስ', 'በደለ', 'በቲ', 'ዝገበሮ', 'ሓጢኣት', 'ይናዘዝ']","['it', 'shall', 'be', 'when', 'he', 'is', 'guilty', 'of', 'one', 'of', 'these', 'he', 'shall', 'confess', 'that', 'in', 'which', 'he', 'has', 'sinned']"
1076,ብዛዕባ እቲ ዝገበሮ ሓጢኣቱ ድማ ንመስዋእቲ በደሉ ኻብ መጓሴኡ ንመስዋእቲ ሓጢኣት ሓንቲ ሽበን ወይ ኣርሕዶ ንእግዚኣብሄር የቕርበሉ። እቲ ኻህን ድማ ብዛዕባ ሓጢኣቱ የተዐርቆ።,"and he shall bring his trespass offering to Yahweh for his sin which he has sinned, a female from the flock, a lamb or a goat, for a sin offering; and the priest shall make atonement for him concerning his sin.","['ብዛዕባ', 'እቲ', 'ዝገበሮ', 'ሓጢኣቱ', 'ድማ', 'ንመስዋእቲ', 'በደሉ', 'ኻብ', 'መጓሴኡ', 'ንመስዋእቲ', 'ሓጢኣት', 'ሓንቲ', 'ሽበን', 'ወይ', 'ኣርሕዶ', 'ንእግዚኣብሄር', 'የቕርበሉ', 'እቲ', 'ኻህን', 'ድማ', 'ብዛዕባ', 'ሓጢኣቱ', 'የተዐርቆ']","['and', 'he', 'shall', 'bring', 'his', 'trespass', 'offering', 'to', 'yahweh', 'for', 'his', 'sin', 'which', 'he', 'has', 'sinned', 'a', 'female', 'from', 'the', 'flock', 'a', 'lamb', 'or', 'a', 'goat', 'for', 'a', 'sin', 'offering', 'and', 'the', 'priest', 'shall', 'make', 'atonement', 'for', 'him', 'concerning', 'his', 'sin']"
1077,ንበጊዕ ዝኣክል ዓቅሚ እንተ ዜብሉ ኸኣ፡ ንመስዋእቲ እቲ ዝገበሮ በደል ክልተ ባሬቶ ወይ ክልተ ጫጩት ርግቢ፡ ሓንቲ መስዋእቲ ሓጢኣት፡ ሓንቲ ኸኣ ንዝሓርር መስዋእቲ ንእግዚኣብሄር የቕርበሉ።,"""''If he can''t afford a lamb, then he shall bring his trespass offering for that in which he has sinned, two turtledoves, or two young pigeons, to Yahweh; one for a sin offering, and the other for a burnt offering.","['ንበጊዕ', 'ዝኣክል', 'ዓቅሚ', 'እንተ', 'ዜብሉ', 'ኸኣ', 'ንመስዋእቲ', 'እቲ', 'ዝገበሮ', 'በደል', 'ክልተ', 'ባሬቶ', 'ወይ', 'ክልተ', 'ጫጩት', 'ርግቢ', 'ሓንቲ', 'መስዋእቲ', 'ሓጢኣት', 'ሓንቲ', 'ኸኣ', 'ንዝሓርር', 'መስዋእቲ', 'ንእግዚኣብሄር', 'የቕርበሉ']","['""\'\'if', 'he', ""can''t"", 'afford', 'a', 'lamb', 'then', 'he', 'shall', 'bring', 'his', 'trespass', 'offering', 'for', 'that', 'in', 'which', 'he', 'has', 'sinned', 'two', 'turtledoves', 'or', 'two', 'young', 'pigeons', 'to', 'yahweh', 'one', 'for', 'a', 'sin', 'offering', 'and', 'the', 'other', 'for', 'a', 'burnt', 'offering']"
1078,ናብ ካህን የምጽኣየን፡ ንሱ ኸኣ ቅድም እታ መስዋእቲ ሓጢኣት እትኸውን የቅርብ፡ ርእሳ ኸይፈለየስ፡ ካብ ጥቃ ኽሳዳ ይጥወያ።,"He shall bring them to the priest, who shall first offer the one which is for the sin offering, and wring off its head from its neck, but shall not sever it completely.","['ናብ', 'ካህን', 'የምጽኣየን', 'ንሱ', 'ኸኣ', 'ቅድም', 'እታ', 'መስዋእቲ', 'ሓጢኣት', 'እትኸውን', 'የቅርብ', 'ርእሳ', 'ኸይፈለየስ', 'ካብ', 'ጥቃ', 'ኽሳዳ', 'ይጥወያ']","['he', 'shall', 'bring', 'them', 'to', 'the', 'priest', 'who', 'shall', 'first', 'offer', 'the', 'one', 'which', 'is', 'for', 'the', 'sin', 'offering', 'and', 'wring', 'off', 'its', 'head', 'from', 'its', 'neck', 'but', 'shall', 'not', 'sever', 'it', 'completely']"
