,EN,TI,TI_tokenized,EN_tokenized
25,I’m scared,ፈሪሔ አለኹ,"['ፈሪሔ', 'አለኹ']","['i’m', 'scared']"
26,I’m sad,ሓዚነ አለኹ,"['ሓዚነ', 'አለኹ']","['i’m', 'sad']"
27,I like you,እፈትወካ እየ,"['እፈትወካ', 'እየ']","['i', 'like', 'you']"
28,Don’t worry,አይትሸገር,['አይትሸገር'],"['don’t', 'worry']"
29,I would like an appointment,ቖጸራ ምደለኹ ነይረ,"['ቖጸራ', 'ምደለኹ', 'ነይረ']","['i', 'would', 'like', 'an', 'appointment']"
30,You have to wait,ክትጽበ አለካ,"['ክትጽበ', 'አለካ']","['you', 'have', 'to', 'wait']"
31,How long do we have to wait here,ክንደይ ጊዜ ክንጽበ አለና,"['ክንደይ', 'ጊዜ', 'ክንጽበ', 'አለና']","['how', 'long', 'do', 'we', 'have', 'to', 'wait', 'here']"
32,I will be back soon,ቀልጢፈ ክምለስ እየ,"['ቀልጢፈ', 'ክምለስ', 'እየ']","['i', 'will', 'be', 'back', 'soon']"
33,I need a doctor,ሓኪም የድለየኒ ኣሎ,"['ሓኪም', 'የድለየኒ', 'ኣሎ']","['i', 'need', 'a', 'doctor']"
34,I feel sick,ተጸሊኡኒ ኣሎ ,"['ተጸሊኡኒ', 'ኣሎ']","['i', 'feel', 'sick']"
35, I don't feel well, ሕማም ይስምዓኒ ኣሎ,"['ሕማም', 'ይስምዓኒ', 'ኣሎ']","['i', ""don't"", 'feel', 'well']"
36,I am not feeling well,ጽቡቕ ኣይስመዓንን ኣሎ,"['ጽቡቕ', 'ኣይስመዓንን', 'ኣሎ']","['i', 'am', 'not', 'feeling', 'well']"
37,I’m ill ,ሓሚመ ኣለኹ,"['ሓሚመ', 'ኣለኹ']","['i’m', 'ill']"
38, I’m sick,ሓሚመ ኣለኹ,"['ሓሚመ', 'ኣለኹ']","['i’m', 'sick']"
39,My child is sick,ውላደይ ሓሚሙ አሎ,"['ውላደይ', 'ሓሚሙ', 'አሎ']","['my', 'child', 'is', 'sick']"
40,I have a stomach ache,ቅርጰት ከብዲ ጌሩለይ,"['ቅርጰት', 'ከብዲ', 'ጌሩለይ']","['i', 'have', 'a', 'stomach', 'ache']"
41,I have a fever ,ረስኒ ኣለኒ,"['ረስኒ', 'ኣለኒ']","['i', 'have', 'a', 'fever']"
42,I have a temperature,ረስኒ ኣለኒ,"['ረስኒ', 'ኣለኒ']","['i', 'have', 'a', 'temperature']"
43,I have a headache,ርእሰይ ሓሚመ,"['ርእሰይ', 'ሓሚመ']","['i', 'have', 'a', 'headache']"
44,I have a sore throat,ሓናት ሓሚመ,"['ሓናት', 'ሓሚመ']","['i', 'have', 'a', 'sore', 'throat']"
45,I have a cough,ሰዓል ኣለኒ,"['ሰዓል', 'ኣለኒ']","['i', 'have', 'a', 'cough']"
46,I do not eat pork,ስጋ ሓስማ ኣይበልዕን አየ,"['ስጋ', 'ሓስማ', 'ኣይበልዕን', 'አየ']","['i', 'do', 'not', 'eat', 'pork']"
47,Where is the bathroom,ሽቓቅ ኣበይ እዩ,"['ሽቓቅ', 'ኣበይ', 'እዩ']","['where', 'is', 'the', 'bathroom']"
48,Where is the toilet,ሽቓቅ ኣበይ እዩ,"['ሽቓቅ', 'ኣበይ', 'እዩ']","['where', 'is', 'the', 'toilet']"
49,Where can I buy Food,ምግቢ አበይ ክዕድግ እክእል,"['ምግቢ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'food']"
50,Where can I buy Breakfast,ቁርሲ አበይ ክዕድግ እክእል,"['ቁርሲ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'breakfast']"
51,Where can I buy Lunch,ምሳሕ አበይ ክዕድግ እክእል,"['ምሳሕ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'lunch']"
52,Where can I buy Dinner,ድራር አበይ ክዕድግ እክእል,"['ድራር', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'dinner']"
53,Where can I buy pork,ስጋ ሓሰማ አበይ ክዕድግ እክእል,"['ስጋ', 'ሓሰማ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'pork']"
54,Where can I buy beef,ስጋ ከብቲ አበይ ክዕድግ እክእል,"['ስጋ', 'ከብቲ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'beef']"
55,Where can I buy poultry,ደርሆ አበይ ክዕድግ እክእል,"['ደርሆ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'poultry']"
56,Where can I buy chicken,ደርሆ አበይ ክዕድግ እክእል,"['ደርሆ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'chicken']"
57,Where can I buy fish,ዓሳ አበይ ክዕድግ እክእል,"['ዓሳ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'fish']"
58,Where can I buy fruit,ፍሩታ አበይ ክዕድግ እክእል,"['ፍሩታ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'fruit']"
59,Where can I buy apple,ቱፋሕ አበይ ክዕድግ እክእል,"['ቱፋሕ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'apple']"
60,Where can I buy pear,ፐሮን አበይ ክዕድግ እክእል,"['ፐሮን', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'pear']"
61,Where can I buy cherry,ቸሪ አበይ ክዕድግ እክእል,"['ቸሪ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'cherry']"
62,Where can I buy orange,ኣራንሺ አበይ ክዕድግ እክእል,"['ኣራንሺ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'orange']"
63,Where can I buy grapefruit,ናርገ አበይ ክዕድግ እክእል,"['ናርገ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'grapefruit']"
64,Where can I buy peach,ኩኽ አበይ ክዕድግ እክእል,"['ኩኽ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'peach']"
65,Where can I buy apricot,ሚሽሚሽ አበይ ክዕድግ እክእል,"['ሚሽሚሽ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'apricot']"
66,Where can I buy nectarine,ነክታሪን (ዓይነት ኩኽ) አበይ ክዕድግ እክእል,"['ነክታሪን', '(ዓይነት', 'ኩኽ)', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'nectarine']"
67,Where can I buy turnip,ቀይሕ ሱር አበይ ክዕድግ እክእል,"['ቀይሕ', 'ሱር', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'turnip']"
68,Where can I buy rice,ሩዝ አበይ ክዕድግ እክእል,"['ሩዝ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'rice']"
69,Where can I buy pasta,ፓስታ አበይ ክዕድግ እክእል,"['ፓስታ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'pasta']"
70,Where can I buy soup,መረቕ አበይ ክዕድግ እክእል,"['መረቕ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'soup']"
71,Where can I buy water,ማይ አበይ ክዕድግ እክእል,"['ማይ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'water']"
72,Where can I buy lemonade,ጽማቝ ለሚን አበይ ክዕድግ እክእል,"['ጽማቝ', 'ለሚን', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'lemonade']"
73,Where can I buy milk,ጸባ አበይ ክዕድግ እክእል,"['ጸባ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'milk']"
74,Where can I buy coffee,ቡን አበይ ክዕድግ እክእል,"['ቡን', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'coffee']"
75,Where can I buy beer,ቢራ አበይ ክዕድግ እክእል,"['ቢራ', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'beer']"
76,Where can I buy wine,ነቢት አበይ ክዕድግ እክእል,"['ነቢት', 'አበይ', 'ክዕድግ', 'እክእል']","['where', 'can', 'i', 'buy', 'wine']"
77,Where can I find a shirt,ካምታ አበይ ክረክብ እክእል,"['ካምታ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'shirt']"
78,Where can I find a blouse,ካምታ አበይ ክረክብ እክእል,"['ካምታ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'blouse']"
79,Where can I find a T-shirt,ማልያ አበይ ክረክብ እክእል,"['ማልያ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 't-shirt']"
80,Where can I find a Dress,ቀምሸ አበይ ክረክብ እክእል,"['ቀምሸ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'dress']"
81,Where can I find a skirt,ጎና አበይ ክረክብ እክእል,"['ጎና', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'skirt']"
82,Where can I find a hat,ቆብዕ አበይ ክረክብ እክእል,"['ቆብዕ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'hat']"
83,Where can I find a scarf,ሻርባ አበይ ክረክብ እክእል,"['ሻርባ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'scarf']"
84,Where can I find a bed,ዓራት አበይ ክረክብ እክእል,"['ዓራት', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'bed']"
85,Where can I find a pillow,መተርኣስ አበይ ክረክብ እክእል,"['መተርኣስ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'pillow']"
86,Where can I find a blanket,ኮቦርታ አበይ ክረክብ እክእል,"['ኮቦርታ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'blanket']"
87,Where can I find a sleeping bag,ስሊምባክ አበይ ክረክብ እክእል,"['ስሊምባክ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'sleeping', 'bag']"
88,Where can I find a sheet,ኣንሶላ አበይ ክረክብ እክእል,"['ኣንሶላ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'sheet']"
89,Where can I find a bed linen,ሊኖ መንጸፍ ኣራት አበይ ክረክብ እክእል,"['ሊኖ', 'መንጸፍ', 'ኣራት', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'bed', 'linen']"
90,Where can I find a toilet paper,ሽንቲ ቤት ሶፍቲ አበይ ክረክብ እክእል,"['ሽንቲ', 'ቤት', 'ሶፍቲ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'toilet', 'paper']"
91,Where can I find a toothbrush,መጽረዪ ሰኒ አበይ ክረክብ እክእል,"['መጽረዪ', 'ሰኒ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'toothbrush']"
92,Where can I find a toothpaste,ክሬም መጽረዪ ሰኒ አበይ ክረክብ እክእል,"['ክሬም', 'መጽረዪ', 'ሰኒ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'toothpaste']"
93,Where can I find a soap,ሳሙና አበይ ክረክብ እክእል,"['ሳሙና', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'soap']"
94,Where can I find a shampoo,ሻምፖ አበይ ክረክብ እክእል,"['ሻምፖ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'shampoo']"
95,Where can I find Food,ምግቢ አበይ ክረክብ እክእል,"['ምግቢ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'food']"
96,Where can I find Breakfast,ቁርሲ አበይ ክረክብ እክእል,"['ቁርሲ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'breakfast']"
97,Where can I find Lunch,ምሳሕ አበይ ክረክብ እክእል,"['ምሳሕ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'lunch']"
98,Where can I find Dinner,ድራር አበይ ክረክብ እክእል,"['ድራር', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'dinner']"
99,Where can I find pork,ስጋ ሓሰማ አበይ ክረክብ እክእል,"['ስጋ', 'ሓሰማ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'pork']"
100,Where can I find beef,ስጋ ከብቲ አበይ ክረክብ እክእል,"['ስጋ', 'ከብቲ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'beef']"
101,Where can I find poultry,ደርሆ አበይ ክረክብ እክእል,"['ደርሆ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'poultry']"
102,Where can I find chicken,ደርሆ አበይ ክረክብ እክእል,"['ደርሆ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'chicken']"
103,Where can I find fish,ዓሳ አበይ ክረክብ እክእል,"['ዓሳ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'fish']"
104,Where can I find fruit,ፍሩታ አበይ ክረክብ እክእል,"['ፍሩታ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'fruit']"
105,Where can I find apple,ቱፋሕ አበይ ክረክብ እክእል,"['ቱፋሕ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'apple']"
106,Where can I find pear,ፐሮን አበይ ክረክብ እክእል,"['ፐሮን', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'pear']"
107,Where can I find cherry,ቸሪ አበይ ክረክብ እክእል,"['ቸሪ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'cherry']"
108,Where can I find orange,ኣራንሺ አበይ ክረክብ እክእል,"['ኣራንሺ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'orange']"
109,Where can I find grapefruit,ናርገ አበይ ክረክብ እክእል,"['ናርገ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'grapefruit']"
110,Where can I find peach,ኩኽ አበይ ክረክብ እክእል,"['ኩኽ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'peach']"
111,Where can I find apricot,ሚሽሚሽ አበይ ክረክብ እክእል,"['ሚሽሚሽ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'apricot']"
112,Where can I find nectarine,ነክታሪን (ዓይነት ኩኽ) አበይ ክረክብ እክእል,"['ነክታሪን', '(ዓይነት', 'ኩኽ)', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'nectarine']"
113,Where can I find turnip,ቀይሕ ሱር አበይ ክረክብ እክእል,"['ቀይሕ', 'ሱር', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'turnip']"
114,Where can I find rice,ሩዝ አበይ ክረክብ እክእል,"['ሩዝ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'rice']"
115,Where can I find pasta,ፓስታ አበይ ክረክብ እክእል,"['ፓስታ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'pasta']"
116,Where can I find soup,መረቕ አበይ ክረክብ እክእል,"['መረቕ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'soup']"
117,Where can I find a sanitary pad,ጽግያት አበይ ክረክብ እክእል,"['ጽግያት', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'sanitary', 'pad']"
118,Where can I find a towel,ጽግያት አበይ ክረክብ እክእል,"['ጽግያት', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'towel']"
119,Where can I find a diaper,መድረዝ ኣፍ አበይ ክረክብ እክእል,"['መድረዝ', 'ኣፍ', 'አበይ', 'ክረክብ', 'እክእል']","['where', 'can', 'i', 'find', 'a', 'diaper']"
120,Do you have a bed,ዓራትኣለኪ ዶ ,"['ዓራትኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'bed']"
121,Do you have a pillow,መተርኣስኣለኪ ዶ ,"['መተርኣስኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'pillow']"
122,Do you have a blanket,ኮቦርታኣለኪ ዶ ,"['ኮቦርታኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'blanket']"
123,Do you have a sleeping bag,ስሊምባክኣለኪ ዶ ,"['ስሊምባክኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'sleeping', 'bag']"
124,Do you have a sheet,ኣንሶላኣለኪ ዶ ,"['ኣንሶላኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'sheet']"
125,Do you have a bed linen,ሊኖ መንጸፍ ኣራትኣለኪ ዶ ,"['ሊኖ', 'መንጸፍ', 'ኣራትኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'bed', 'linen']"
126,Do you have a toilet paper,ሽንቲ ቤት ሶፍቲኣለኪ ዶ ,"['ሽንቲ', 'ቤት', 'ሶፍቲኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'toilet', 'paper']"
127,Do you have a toothbrush,መጽረዪ ሰኒኣለኪ ዶ ,"['መጽረዪ', 'ሰኒኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'toothbrush']"
128,Do you have a toothpaste,ክሬም መጽረዪ ሰኒኣለኪ ዶ ,"['ክሬም', 'መጽረዪ', 'ሰኒኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'toothpaste']"
129,Do you have a soap,ሳሙናኣለኪ ዶ ,"['ሳሙናኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'soap']"
130,Do you have a shampoo,ሻምፖኣለኪ ዶ ,"['ሻምፖኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'shampoo']"
131,Do you have a shirt,ካምታኣለኪ ዶ ,"['ካምታኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'shirt']"
132,Do you have a blouse,ካምታኣለኪ ዶ ,"['ካምታኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'blouse']"
133,Do you have a T-shirt,ማልያኣለኪ ዶ ,"['ማልያኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 't-shirt']"
134,Do you have a Dress,ቀምሸኣለኪ ዶ ,"['ቀምሸኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'dress']"
135,Do you have a skirt,ጎናኣለኪ ዶ ,"['ጎናኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'skirt']"
136,Do you have a hat,ቆብዕኣለኪ ዶ ,"['ቆብዕኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'hat']"
137,Do you have a scarf,ሻርባኣለኪ ዶ ,"['ሻርባኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'scarf']"
138,Do you have a sanitary pad,ጽግያትኣለኪ ዶ ,"['ጽግያትኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'sanitary', 'pad']"
139,Do you have a towel,ጽግያትኣለኪ ዶ ,"['ጽግያትኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'towel']"
140,Do you have a nappy,መድረዝ ኣፍኣለኪ ዶ ,"['መድረዝ', 'ኣፍኣለኪ', 'ዶ']","['do', 'you', 'have', 'a', 'nappy']"
141,Where is my wife,ሰበይተይ ኣበይ እዩ,"['ሰበይተይ', 'ኣበይ', 'እዩ']","['where', 'is', 'my', 'wife']"
142,Where is my children,ደቀይ ኣበይ እዩ,"['ደቀይ', 'ኣበይ', 'እዩ']","['where', 'is', 'my', 'children']"
143,Where is my daughter,ጋለይ ኣበይ እዩ,"['ጋለይ', 'ኣበይ', 'እዩ']","['where', 'is', 'my', 'daughter']"
144,Where is my son,ወደይ ኣበይ እዩ,"['ወደይ', 'ኣበይ', 'እዩ']","['where', 'is', 'my', 'son']"
145,Where is my baby,ሕጻን ኣበይ እዩ,"['ሕጻን', 'ኣበይ', 'እዩ']","['where', 'is', 'my', 'baby']"
146,I would like to have access to a Lawyer,ኣነ ጠበቓ ክገብር ክፍቀደኒ እደሊ,"['ኣነ', 'ጠበቓ', 'ክገብር', 'ክፍቀደኒ', 'እደሊ']","['i', 'would', 'like', 'to', 'have', 'access', 'to', 'a', 'lawyer']"
147,I would like to have access to a Counselor,ኣነ ኣማኻሪ ክገብር ክፍቀደኒ እደሊ,"['ኣነ', 'ኣማኻሪ', 'ክገብር', 'ክፍቀደኒ', 'እደሊ']","['i', 'would', 'like', 'to', 'have', 'access', 'to', 'a', 'counselor']"
148,I would like to have access to a Doctor,ኣነ ዶክተር ክገብር ክፍቀደኒ እደሊ,"['ኣነ', 'ዶክተር', 'ክገብር', 'ክፍቀደኒ', 'እደሊ']","['i', 'would', 'like', 'to', 'have', 'access', 'to', 'a', 'doctor']"
149,I would like to see my Lawyer,ኣነ ናተይ ጠበቓ ክሪኦ ደልየ,"['ኣነ', 'ናተይ', 'ጠበቓ', 'ክሪኦ', 'ደልየ']","['i', 'would', 'like', 'to', 'see', 'my', 'lawyer']"
150,I would like to see my Counselor,ኣነ ናተይ ኣማኻሪ ክሪኦ ደልየ,"['ኣነ', 'ናተይ', 'ኣማኻሪ', 'ክሪኦ', 'ደልየ']","['i', 'would', 'like', 'to', 'see', 'my', 'counselor']"
151,I would like to see my Doctor,ኣነ ናተይ ዶክተር ክሪኦ ደልየ,"['ኣነ', 'ናተይ', 'ዶክተር', 'ክሪኦ', 'ደልየ']","['i', 'would', 'like', 'to', 'see', 'my', 'doctor']"
152,I would like to see my Brother,ኣነ ናተይ ሓወይ ክሪኦ ደልየ,"['ኣነ', 'ናተይ', 'ሓወይ', 'ክሪኦ', 'ደልየ']","['i', 'would', 'like', 'to', 'see', 'my', 'brother']"
153,I would like to see my Sister,ኣነ ናተይ ሓፍተይ ክሪኦ ደልየ,"['ኣነ', 'ናተይ', 'ሓፍተይ', 'ክሪኦ', 'ደልየ']","['i', 'would', 'like', 'to', 'see', 'my', 'sister']"
154,I would like to see my Wife,ኣነ ናተይ ሰበይተይ ክሪኦ ደልየ,"['ኣነ', 'ናተይ', 'ሰበይተይ', 'ክሪኦ', 'ደልየ']","['i', 'would', 'like', 'to', 'see', 'my', 'wife']"
155,I would like to see my Husband,ኣነ ናተይ ሰብኣየይ ክሪኦ ደልየ,"['ኣነ', 'ናተይ', 'ሰብኣየይ', 'ክሪኦ', 'ደልየ']","['i', 'would', 'like', 'to', 'see', 'my', 'husband']"
156,I would like to see my Mother,ኣነ ናተይ ኣደይ ክሪኦ ደልየ,"['ኣነ', 'ናተይ', 'ኣደይ', 'ክሪኦ', 'ደልየ']","['i', 'would', 'like', 'to', 'see', 'my', 'mother']"
